flight_date,flight,airline,flight_status,needs_parking,predicted_needs_parking,arrival_hour,can_park,alert
2024-11-13T09:05:00+00:00,BJ508,Nouvelair Tunisie,landed,Nécessite un stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,8,1.0,L'avion de la compagnie Nouvelair Tunisie n'est pas autorisé à stationner sur le tarmac.
2024-11-13T09:05:00+00:00,LX4602,SWISS,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,0,1.0,L'avion de la compagnie SWISS est autorisé à stationner sur le tarmac.
2024-11-13T08:35:00+00:00,VN3156,Vietnam Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,22,1.0,L'avion de la compagnie Vietnam Airlines est autorisé à stationner sur le tarmac.
2024-11-13T09:55:00+00:00,EY5883,Etihad Airways,active,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,16,1.0,ALERTE : L'avion de la compagnie Etihad Airways ne peut pas stationner en raison des heures de pointe.
2024-11-13T10:30:00+00:00,HM6404,Air Seychelles,active,Ne nécessite pas de stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,0,1.0,L'avion de la compagnie Air Seychelles est autorisé à stationner sur le tarmac.
2024-11-13T09:00:00+00:00,LY9744,El Al,landed,Nécessite un stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,12,1.0,ALERTE : L'avion de la compagnie El Al ne peut pas stationner en raison des heures de pointe.
2024-11-13T09:40:00+00:00,DL8288,Delta Air Lines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,20,1.0,L'avion de la compagnie Delta Air Lines est autorisé à stationner sur le tarmac.
2024-11-13T09:00:00+00:00,LY9794,El Al,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,13,1.0,"L'avion de la compagnie El Al est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-13T09:00:00+00:00,A33369,Aegean Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,13,1.0,"L'avion de la compagnie Aegean Airlines est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-13T09:25:00+00:00,MU1541,China Eastern Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,11,1.0,"L'avion de la compagnie China Eastern Airlines est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-13T12:45:00+00:00,AI6349,Air India,unknown,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,12,1.0,ALERTE : L'avion de la compagnie Air India ne peut pas stationner en raison des heures de pointe.
2024-11-13T09:40:00+00:00,RO9550,TAROM,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,4,1.0,L'avion de la compagnie TAROM est autorisé à stationner sur le tarmac.
2024-11-13T10:35:00+00:00,QR8251,Qatar Airways,scheduled,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,13,1.0,ALERTE : L'avion de la compagnie Qatar Airways ne peut pas stationner en raison des heures de pointe.
2024-11-13T08:25:00+00:00,UA7265,United Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,7,1.0,L'avion de la compagnie United Airlines est autorisé à stationner sur le tarmac.
2024-11-13T09:35:00+00:00,AF1307,Air France,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,8,1.0,L'avion de la compagnie Air France est autorisé à stationner sur le tarmac.
2024-11-13T10:30:00+00:00,TK1823,Turkish Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,20,1.0,L'avion de la compagnie Turkish Airlines est autorisé à stationner sur le tarmac.
2024-11-13T09:55:00+00:00,JL5302,Jet Linx Aviation,active,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,7,1.0,L'avion de la compagnie Jet Linx Aviation n'est pas autorisé à stationner sur le tarmac.
2024-11-14T00:35:00+00:00,CZ347,China Southern Airlines,scheduled,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,23,1.0,L'avion de la compagnie China Southern Airlines n'est pas autorisé à stationner sur le tarmac.
2024-11-13T09:40:00+00:00,AM5875,Aeromexico,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,23,1.0,L'avion de la compagnie Aeromexico est autorisé à stationner sur le tarmac.
2024-11-13T09:30:00+00:00,LH2228,Lufthansa,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,13,1.0,"L'avion de la compagnie Lufthansa est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-13T09:05:00+00:00,UX2211,Air Europa,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,8,1.0,L'avion de la compagnie Air Europa est autorisé à stationner sur le tarmac.
2024-11-13T09:00:00+00:00,SK837,SAS,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,3,1.0,L'avion de la compagnie SAS est autorisé à stationner sur le tarmac.
2024-11-13T10:15:00+00:00,AA9234,American Airlines,active,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,22,1.0,L'avion de la compagnie American Airlines n'est pas autorisé à stationner sur le tarmac.
2024-11-13T09:05:00+00:00,SK9843,SAS,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,2,1.0,L'avion de la compagnie SAS est autorisé à stationner sur le tarmac.
2024-11-14T00:15:00+00:00,MU553,China Eastern Airlines,scheduled,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,10,1.0,L'avion de la compagnie China Eastern Airlines n'est pas autorisé à stationner sur le tarmac.
2024-11-13T09:35:00+00:00,MU1666,China Eastern Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,12,1.0,"L'avion de la compagnie China Eastern Airlines est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-13T10:30:00+00:00,UA6926,United Airlines,active,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,5,1.0,L'avion de la compagnie United Airlines n'est pas autorisé à stationner sur le tarmac.
2024-11-13T07:30:00+00:00,FI542,Icelandair,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,10,1.0,L'avion de la compagnie Icelandair est autorisé à stationner sur le tarmac.
2024-11-13T09:35:00+00:00,KQ3951,Kenya Airways,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,8,1.0,L'avion de la compagnie Kenya Airways est autorisé à stationner sur le tarmac.
2024-11-13T10:30:00+00:00,3U7213,Sichuan Airlines,active,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,6,1.0,L'avion de la compagnie Sichuan Airlines n'est pas autorisé à stationner sur le tarmac.
2024-11-13T08:35:00+00:00,EY2832,Etihad Airways,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,22,1.0,L'avion de la compagnie Etihad Airways est autorisé à stationner sur le tarmac.
2024-11-13T09:00:00+00:00,A33387,Aegean Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,6,1.0,L'avion de la compagnie Aegean Airlines est autorisé à stationner sur le tarmac.
2024-11-13T08:25:00+00:00,SK565,SAS,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,1,1.0,L'avion de la compagnie SAS est autorisé à stationner sur le tarmac.
2024-11-14T01:20:00+00:00,CA1035,Air China LTD,scheduled,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,22,1.0,L'avion de la compagnie Air China LTD n'est pas autorisé à stationner sur le tarmac.
2024-11-13T13:05:00+00:00,AI143,Air India,scheduled,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,5,1.0,L'avion de la compagnie Air India n'est pas autorisé à stationner sur le tarmac.
2024-11-13T09:05:00+00:00,AF1543,Air France,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,7,1.0,L'avion de la compagnie Air France est autorisé à stationner sur le tarmac.
2024-11-13T12:20:00+00:00,UU8735,Air Austral,active,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,2,1.0,L'avion de la compagnie Air Austral n'est pas autorisé à stationner sur le tarmac.
2024-11-13T09:35:00+00:00,DL8433,Delta Air Lines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,13,1.0,"L'avion de la compagnie Delta Air Lines est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-14T01:25:00+00:00,AF381,Air France,scheduled,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,2,1.0,L'avion de la compagnie Air France n'est pas autorisé à stationner sur le tarmac.
2024-11-13T08:15:00+00:00,U28403,easyJet,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,16,1.0,"L'avion de la compagnie easyJet est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-13T09:05:00+00:00,VN3143,Vietnam Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,14,1.0,"L'avion de la compagnie Vietnam Airlines est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-13T09:55:00+00:00,KE6462,Korean Air,active,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,5,1.0,L'avion de la compagnie Korean Air n'est pas autorisé à stationner sur le tarmac.
2024-11-13T08:35:00+00:00,AZ316,ITA Airways,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,16,1.0,"L'avion de la compagnie ITA Airways est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-13T09:25:00+00:00,SQ1853,Singapore Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,0,1.0,L'avion de la compagnie Singapore Airlines est autorisé à stationner sur le tarmac.
2024-11-13T08:35:00+00:00,MF9578,Xiamen Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,19,1.0,"L'avion de la compagnie Xiamen Airlines est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-13T08:25:00+00:00,AC2971,Air Canada,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,12,1.0,"L'avion de la compagnie Air Canada est autorisé à stationner sur le tarmac. Pendant les heures de pointe, un aménagement immédiat doit être fait."
2024-11-13T10:15:00+00:00,RJ117,Royal Jordanian,active,Ne nécessite pas de stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,17,1.0,ALERTE : L'avion de la compagnie Royal Jordanian ne peut pas stationner en raison des heures de pointe.
2024-11-13T09:40:00+00:00,AR7821,Aerolineas Argentinas,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,6,1.0,L'avion de la compagnie Aerolineas Argentinas est autorisé à stationner sur le tarmac.
2024-11-13T08:25:00+00:00,OZ9382,Asiana Airlines,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,23,1.0,L'avion de la compagnie Asiana Airlines est autorisé à stationner sur le tarmac.
2024-11-13T09:40:00+00:00,AY6326,Finnair,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,2,1.0,L'avion de la compagnie Finnair est autorisé à stationner sur le tarmac.
2024-11-13T09:00:00+00:00,SK573,SAS,landed,Nécessite un stationnement sur le tarmac,Cet avion ne nécessite pas de stationnement sur le tarmac,11,1.0,ALERTE : L'avion de la compagnie SAS ne peut pas stationner en raison des heures de pointe.
2024-11-13T09:25:00+00:00,RO9576,TAROM,landed,Nécessite un stationnement sur le tarmac,Cet avion nécessite un stationnement sur le tarmac,1,1.0,L'avion de la compagnie TAROM est autorisé à stationner sur le tarmac.
